,created_at,content,media,source_link,comments,likes,shares,reactions
243,1618838109,Get more likes on Instagram by doing this.,,https://www.facebook.com/177463958820/posts/10158395756658821/,0,13,3,14
244,1618924509,Where does your brand fall on the mild to wild scale?,,https://www.facebook.com/177463958820/posts/10158397922008821/,8,6,1,7
245,1619097308,🤔🤔🤔,,https://www.facebook.com/177463958820/posts/10158402739418821/,0,11,3,12
246,1619183707,We have the answer right here 👀,,https://www.facebook.com/177463958820/posts/10158405186053821/,0,4,1,6
247,1619291703,These scheduling hacks will save you time ⏰,,https://www.facebook.com/177463958820/posts/10158408541583821/,0,9,7,9
248,1619270105,"Shake it up. Talk in mystical metaphors. Get weird, friends.",,https://www.facebook.com/177463958820/posts/10158407776693821/,0,5,0,5
249,1619550905,Don't miss these updates from April 👀,,https://www.facebook.com/177463958820/posts/10158415238788821/,0,9,3,9
250,1619637305,Use this free reporting template 😍,,https://www.facebook.com/177463958820/posts/10158417317373821/,1,12,3,12
251,1619464506,Things are changing on social 🙃,,https://www.facebook.com/177463958820/posts/10158413129273821/,5,21,7,21
252,1619615705,There’s one key tool you should start using right away to get the most out of your social ad budget: the Facebook pixel.,,https://www.facebook.com/177463958820/posts/10158416642078821/,2,20,12,20
253,1619565303,"Reality check—do people care about your brand on social?

✅ Good news is that people want to see brands on social 
❎ Bad news is that brands misunderstand when and how they're wanted 

Get in check with Hootsuite's CEO, Tom Keiser, on the main stage at #SMWNYC.

👉 http://ow.ly/WdaR50Euzgb","MEDIA_PHOTO - https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/s720x720/179455680_10158415617653821_1368628210618235100_n.png?_nc_cat=104&ccb=1-3&_nc_sid=e007fa&_nc_ohc=-vMQwnhAiV8AX9GudCT&_nc_ht=scontent-iad3-1.xx&tp=30&oh=254f890bd197232a55cced866f0cdbb3&oe=60ADBBAF
",https://www.facebook.com/hootsuite/photos/a.10157524145268821/10158415617648821/?type=3,0,1,0,1
